,Rank,Job role,Experience Level,Experience detail,Job description,Industry,City,Post Code,Pay total,Pay per hour,Start date,Shift
10,12,Logistiker/in,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit (z.B. Be-/Entladen von Lastwagen, Einpacken und Rüsten von Sendungen). Handwerkliches Geschick von Vorteil.","Aufgaben:
• Auffüllen der Regale 
• Be- und Entladen von Lastwagen
• Sorgfältiger Umgang mit der Ware
• Sicherstellung von Ordnung, Sauberkeit und Sicherheit im Lager

Erwartungen:
• Erste Erfahrungen in der Logistik
• Kommunikative Deutschkenntnisse
• Stressresistenz, Flexibilität und Servicebereitschaft
• Transparente Arbeitsweise und guter Teamgeist
• Die Fähigkeit, körperlich zu arbeiten und ein hohes Arbeitstempo zu bewältigen
• Eigenverantwortung und die Fähigkeit, sich ändernden Anforderungen anzupassen
• Eine unabhängige, gut strukturierte, schnelle und detaillierte Arbeitsweise und die Fähigkeit zur Handhabung
• Multitasking
• Pünktlichkeit

Arbeitszeiten können abweichen - FLEXIBILITÄT wird erwartet!
• Für die Garderobe wird ein 5.- Stück benötigt. Bitte zum Einsatz mitnehmen",Promotion / Event,Neuendorf,4623,2430.09,24.12,23 Aug 2023,13
11,13,Koch/Köchin,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Koch/Köchin, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Profil: 
- Kochen aus Leidenschaft in der kalten und warmen Küche
- Fliessende Deutschkenntnisse
- Selbständig, teamfähig und belastbar
- Erfahrung in der Gemeinschaftsgastronomie

Aufgaben:
- eigenständiges Arbeiten
- Fertigstellen und selbständiges Produzieren der Speisen
- Mise en place und Rüstarbeiten
- Sicherstellung der Konstanz & Qualität der Speisen bei Kochprozessen
- Mitverantwortung bei der Umsetzung & Überwachung des Hygienekonzeptes

Wichtig
- Je nach Gästeaufkommen können die Einsatz- und Pausenzeiten variieren.",Gastronomie / Hotel,Kaiseraugst,4303,3195.92,30.73,23 Aug 2023,13
12,14,Lastwagenfahrer/in (ab 3.5T),,,"Einsatz auf LKW Kat. C für WB's (Wechselpritschen) gesucht. Feinverteilung von Rollwägeli in der Region Bern/Fribourg im Lebensmittelbereich. Einsatz im Erfahrung mit WB von Vorteil, LKW-Anhängerprüfung von Vorteil. Gute Einarbeitung wird geboten und ein tolles Team...!",Promotion / Event,Münchenbuchsee,3053,7840.0,35.0,23 Aug 2023,28
13,15,Handwerk & Auf-/Abbau,Handwerk gelernt,"Schreiner/in, Zimmermann/Zimmerin, Zelt-, Bühnen- und Messebauer/in, etc. mit abgeschlossener handwerklicher Berufslehre.","Beschreibung:

1.) Funktionsumschreibung
-Ausführen von Instandhaltungs-, Wartungs- und Inspektionsarbeiten gemäss Vorgaben.
-Austauschen und Prüfen von Komponenten gemäss Vorgaben.
-Durchführen von Kontroll- und Änderungsaufträge gemäss Vorgaben und Feststellen von Abweichungen.

2.) Aufgabenschwerpunkte
-Führt Wartungs-, Einstellungs- und Inspektionsarbeiten gemäss den technischen Vorgaben aus.
-Führt Messungen gemäss den technischen Vorgaben durch und füllt Messprotokolle aus.
-Löst für die festgestellten Abweichungen die nötigen Instandsetzungsmassnahmen aus (mit Hilfe von Funktions- und Sichtkontrollen sowie einfachen Messungen).
-Ersetzt Abnützungsteile und führt Einstellarbeiten im Rahmen der Wartungsvorgaben durch.
-Meldet die ausgeführten Arbeiten sowie die erhobenen Daten gemäss Vorgaben zurück.
-Führt eindeutig dokumentierte oder klar beauftragte Instandsetzungsarbeiten durch und meldet diese gemäss Vorgaben zurück.
-Führt Störungsdiagnosen (basierend auf eindeutigen Sicht- und Funktionskontrolle) durch und meldet diese fachgerecht zurück.
-Führt Komponententausche gemäss Vorgabe oder mit Begleitung durch.
-Meldet die ausgeführten Arbeiten gemäss Prozess zurück.
-Führt einfache, vollständig dokumentierte Änderungs- und Kontrollaufträge gemäss Vorgaben oder mit Begleitung durch.
-Stellt Abweichungen resp. Verbesserungspotential im Prozess fest (KVP, MOM) und meldet diese an die zuständige Stelle.",Promotion / Event,Weinfelden,8570,42961.22,31.37,23 Aug 2023,166
14,16,Fachmann/frau Gesundheit EFZ (angepasste Ausbildungen),Gelernt,Die Ausbildungsnachweise (Zertifikate / Diplome) müssen auf dem Coople-Account hinterlegt sein. Die NAREG-Nr. ist im Lebenslauf zu erwähnen.,"Unter dem Dach « da » (CSEB) / «Gesundheitszentrum Unterengadin» gehen wichtige regionale Anbieter in den Bereichen Gesundheitsversorgung und Wellness einen gemeinsamen Weg. 

Die Langzeitpflege im Unterengadin richtet sich nach einem ganzheitlichen und dezentralen Pflege- und Betreuungsmodell, bei welchem die bedürftigen Menschen im Zentrum stehen. Ihre Lebensqualität zu erhalten und zu fördern ist das Hauptziel der Chüra-Betriebe. Diese umfassen zwei Pflegegruppen und zwei Pflegeheime mit insgesamt 110 Betten, eine Spitex sowie eine Beratungsstelle.

Wir suchen für die Chüra-Betriebe in Scuol nach Vereinbarung eine/-n Fachfrau/-mann Gesundheit FaGe.

Hauptaufgaben: 
- Ganzheitliche Betreuung der Bewohnenden gemäss Pflegeprozessplanung
- Dokumentation der Pflege und Mitarbeit beim Erstellen von Pflegeplanungen
- Aktive Mitarbeit im Bezugspflegesystem, Planung und Dokumentation von Teilschritten im Pflegeprozess in enger Zusammenarbeit mit den Dipl. Pflegefachpersonen
- Führung des Pflegeteams und Koordination des Tagesablaufs innerhalb einer Pflegegruppe im Rahmen der Tagesverantwortung

Anforderungsprofil:
- Ausbildung mit Abschluss zur Fachfrau / zum Fachmann Gesundheit EFZ oder äquivalente Anerkennung
- Bereitschaft zu unregelmässiger Arbeitszeit sowie Nachtdienst
- Sichere Kommunikation in der deutschen Sprache
- Belastbare und ausgeglichene Persönlichkeit
- Kenntnisse in der EDV-gestützten Pflegedokumentation
- Teamfähigkeit, Engagement und Selbständigkeit

Unser Angebot:
- Interessante und vielseitige Tätigkeit in einer innovativen Arbeitsumgebung,
- Moderne Infrastruktur
- Angenehmes Arbeitsklima
- Zeitgemässe Anstellungsbedingungen
- Interdisziplinäre Zusammenarbeit
- Interne und externe Zusammenarbeit

Wir freuen uns auf Ihre Bewerbung.

>>> Achtung, die erfassten Schichten sind fiktiv und werden zu einem späteren Zeitpunkt besprochen. Mit der Ausschreibung des Einsatzes wird eine Festanstellung angestrebt. <<<",Gesundheitswesen,Scuol,7550,2054.74,31.37,23 Aug 2023,8
15,17,Pflegehelfer/in SRK,Ungelernt,Das Zertifikat des Pflegehelferkurses muss auf dem Coople-Account hinterlegt sein.,"Die Einsätze sind fiktiv. Du wirst bei Bewerbung vom Unternehmen kontaktiert. 
Mögliche Schichten: Frühdienst, Mitteldienst, Spätdienst, Geteilter Dienst und nach Absprache Nachtdienst

DEINE AUFGABEN
Begleitung der Bewohnenden entsprechend ihren Bedürfnissen und Fähigkeiten
Pflege und Betreuung der Bewohnenden in ihren alltäglichen Verrichtungen
Begleitung der Bewohnenden in ihren individuellen Tagesabläufen, bei Wohnen und Freizeit
Wahrnehmung der individuellen Bedürfnisse der Bewohnenden
Bezugspersonenarbeit und pflegen von Kontakten mit Angehörigen und gesetzlichen Vertretern

DEIN PROFIL
Abgeschlossene Ausbildung als Pflegehelfer/in SRK oder Pflegeassistentin SRK/AGS
Hohe Sozialkompetenz, Selbstkompetenz und Reflexionsfähigkeit
Grosse Motivation, Verantwortungsbewusstsein und Offenheit für Neues",Gesundheitswesen,Bärau,3552,16464.0,28.0,23 Aug 2023,70
16,18,Pflegefachmann/frau HF dipl. (angepasste Ausbildungen),Gelernt,Die Ausbildungsnachweise (Zertifikate / Diplome) müssen auf dem Coople-Account hinterlegt sein. Die NAREG-Nr. ist im Lebenslauf zu erwähnen.,"Unter dem Dach « da » (CSEB) / «Gesundheitszentrum Unterengadin» gehen wichtige regionale Anbieter in den Bereichen Gesundheitsversorgung und Wellness einen gemeinsamen Weg. 

Die Langzeitpflege im Unterengadin richtet sich nach einem ganzheitlichen und dezentralen Pflege- und Betreuungsmodell, bei welchem die bedürftigen Menschen im Zentrum stehen. Ihre Lebensqualität zu erhalten und zu fördern ist das Hauptziel der Chüra-Betriebe. Diese umfassen zwei Pflegegruppen und zwei Pflegeheime mit insgesamt 110 Betten, eine Spitex sowie eine Beratungsstelle.

Wir suchen für die Chüra-Betriebe in Scuol nach Vereinbarung eine/-n Dipl. Pflegefachfrau/-mann HF.

Hauptaufgaben:
- Professionelle Pflege und Betreuung der Bewohnenden
- Tagesverantwortung
- Steuerung und Auswertung des Pflegeprozesses
- Planung und Durchführung von Arztvisiten
- Interdisziplinäre Zusammenarbeit mit allen in der Pflege und Betreuung eingebundenen Stellen

Anforderungsprofil:
- Abgeschlossene Ausbildung als diplomierte Pflegefachperson HF oder äquivalente Anerkennung
- Berufserfahrung in der Geriatrie- und Langzeitpflege
- Bereitschaft zu unregelmässiger Arbeitszeit sowie Nacht- und Pikettdienst
- Teamfähigkeit, Engagement und Selbständigkeit
- Qualitätsbewusstsein und Interesse an der Weiterentwicklung der Pflege
- Konstruktives und zielgerichtetes Arbeiten im intra- und interdisziplinären Team
- Kenntnisse in der EDV-gestützten Pflegedokumentation
- Sichere mündliche und schriftliche Kommunikation in Deutsch

Unser Angebot:
- Interessante und vielseitige Tätigkeit in einer innovativen Arbeitsumgebung
- Moderne Infrastruktur
- Angenehmes Arbeitsklima
- Zeitgemässe Anstellungsbedingungen
- Interdisziplinäre Zusammenarbeit und Projekte
- Interne und externe Weiterbildungsmöglichkeiten

>>> Achtung, die erfassten Schichten sind fiktiv und werden zu einem späteren Zeitpunkt besprochen. Mit der Ausschreibung des Einsatzes wird eine Festanstellung angestrebt. <<<",Gesundheitswesen,Scuol,7550,2459.53,37.55,23 Aug 2023,8
17,19,Produktionsmitarbeiter/in,,,"Abfüllen und Verpacken von Reinigungsmitteln, Entkalker usw.",,Wetzikon,8623,1693.09,25.46,23 Aug 2023,8
18,20,Koch/Köchin,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Koch/Köchin, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.",kein Parkplatz vorhanden,Gastronomie / Hotel,Opfikon,8152,416.39,32.03,23 Aug 2023,2
19,21,Medizinisches Personal - Impfaktion,Pflegefachmann/frau FH BSc mit wenig Berufserfahrung,"0-5 Jahre Berufserfahrung. Pflegefachleute FH (Bachelor of Science) übernehmen anspruchsvolle praktische Aufgaben sowie Führungsverantwortung in diversen Fachbereichen der Pflege. Sie entwickeln Pflegemassnahmen, neue Konzepte und Methoden, beteiligen sich an der Qualitätssicherung und an Forschungsprojekten. Die Ausbildungsnachweise (Zertifikate/Diplome) müssen auf dem Coople-Account hinterlegt sein. Die NAREG-Nr. ist im Lebenslauf zu erwähnen.","In der arbeiten wir für eine Welt, in der Menschen mit einer Muskelkrankheit selbstbestimmt und autonom leben. Diesem Ziel sind unsere Angebote in den Bereichen Bildung, Wohnen, Therapie, Freizeitgestaltung und Arbeit verpflichtet. Fachlich versierte, eigenverantwortlich handelnde, kreative Mitarbeitende sind dabei unsere wichtigste Ressource.

Für die Arbeit auf den einzelnen Wohngruppen suchen wir Pflegefachpersonen FH.
Die Bewohnenden sind körperlich stark eingeschränkt. Das hindert sie nicht daran zu lernen, zu arbeiten, zu feiern oder in die Ferien zu reisen. Und dafür brauchen sie dich. Als Mitarbeiter_in ermöglichst du ihnen, ihren Alltag und ihre Träume zu leben.

Was du erwarten darfst: 
• Eine vielseitige, sinn- und anspruchsvolle Arbeit mit viel Eigenverantwortung, Kompetenz und Gestaltungsraum
• Ein engagiertes Team in einem sehr angenehmen und wertschätzenden Betriebsklima

Was du mitbringst:
• Abgeschlossene Ausbildung als Pflegefachfrau/-mann FH (bei ausländischem Diplom mit SRK-Anerkennung) 
• Engagement und Einsatzfreude bei der Pflege und Betreuung von jungen Erwachsenen
• Psychische Belastbarkeit, Teamfähigkeit und Motivation zum verantwortungsvollen und selbstständigen Arbeiten
• Geduld, soziale Kompetenz und Flexibilität

Deine Kernaufgaben:
• Funktion als Pflegefachkraft mit Dienstverantwortung im Tagdienst
• Grund- und Behandlungspflege der Bewohnenden
• Sicherung der Pflegequalität mittels Umsetzung der jeweiligen Standards und Richtlinien
• Begleitung und Unterstützung der Bewohnenden im Alltag und der Freizeit",Gesundheitswesen,Zürich,8008,1642.5,45.0,23 Aug 2023,5
20,22,KV - Allgemeine Richtungen,Kaufmann/frau EFZ,"Kaufleute arbeiten in den unterschiedlichsten Wirtschaftszweigen, die in 21  Branchen unterteilt sind. In den verschiedenen Einsatzbereichen übernehmen sie administrative und organisatorische Aufgaben. Das EFZ-Fähigkeitszeugnis muss auf dem Coople-Account hinterlegt sein.","Aufgabenschwerpunkte (max. 5-6 der wichtigsten Aufgaben beschreiben)

• Verantwortet die termingerechte, effiziente und bedarfsorientierte Bearbeitung der
Auftragsbestätigungen der Bestellungen inkl. der entsprechenden Informationsweiterleitung aufgrund
von Abweichungen.
• Mahnwesen führen: Verantwortet das termingerechte, effiziente und bedarfsorientierte Mahnwesen der
Bestellungen und die Bearbeitung offener Rechnungen aufgrund von Abweichungen.
• Berät Bedarfsträger/in bezüglich Bestellprozess, in Bezug auf Sortiment und Fragestellungen der
operativen SAP-Bestell-Umsetzung.
• Verantwortet Spezialaufgaben im Rahmen seines/ihres Anforderungsniveaus und mit dem Ziel
seine/ihre Fähigkeiten und die Funktionsweise der Organisation zu erweitern bzw. zu verbessern.
• Lieferantenkontakt bei Abklärungen via E-Mail / Telefon

Fachkompetenzen:
- Gute PC Anwenderkenntisse
- Geografiekenntnisse (optional)
- Kenntnisse der sozialen Medien (optional)

Ausbildung:
- Abgeschlossene Kaufmännische Lehre (EFZ) idealerweise im Dienstleistungsbereich (ZWINGEND)
- Von Vorteil Zertifikat SachbearbeiterIn Einkauf ☐ ☒
- Von Vorteil Berufserfahrung im Einkauf

Sprachkenntnisse:
- Deutsch mündlich und schriftlich gut bis sehr gut
- Französisch von Vorteil
- Italienisch von Vorteil",Kaufmännische Berufe,Bern,3014,68323.86,31.37,23 Aug 2023,242
21,23,Assistent/in Gesundheit und Soziales EBA,Gelernt,"Die EBA-Ausbildung ist eine berufliche Grundbildung, welche 2 Jahre dauert und sowohl theoretische, als auch praktische Elemente beinhaltet. Das Berufsattest EBA muss auf dem Coople-Account hinterlegt sein.","• Unterstützen der Pflegefachperson bei der Pflege Betreuung der Bewohnerinnen
• Unterstützen der Bewohnerinnen bei Aktivitäten des täglichen Lebens wie: Waschen Ankleiden, Bewegen, Essen Trinken, Kommunizieren, 
• Auf Delegation, Verrichtungen der anfallenden Pflege- Hausarbeiten wie: Essen servieren, Küche in Ordnung halten, Tee Kaffee zubereiten, Räumlichkeiten in Ordnung halten, Reinigen von Zimmern Mobiliar Arbeiten gemäss Ämtliplan.
• Delegierte Massnahmen in den Bereichen Pflege, Therapie Rehabilitation durchführen",Gesundheitswesen,Biberist,4562,288.75,35.0,23 Aug 2023,1
22,24,Pflegefachmann/frau FH BSc,Gelernt,Die Ausbildungsnachweise (Zertifikate / Diplome) müssen auf dem Coople-Account hinterlegt sein. Die NAREG-Nr. ist im Lebenslauf zu erwähnen.,"Zur Ergänzung unseres Teams mit externen Pflegefachkräften (Poolaufbau) für wiederkehrende Einsätze suchen wir Sie als Dipl. Pflegefachfrau /-mann HF/FH (Berufsbildner/-in). Die Dienste sind frei wählbar, wobei die Zeiten der Folgedienste variieren können.

Ihr Aufgabenbereich:
- Professionelle Pflege und Betreuung der Patienten aller Fachgebiete im interdisziplinären Setting (Orthopädie, Chirurgie, Thoraxchirurgie, Urologie, Gynäkologie, und innere Medizin)
- Ihr Einsatz ermöglicht es, eine hochwertige Pflegequalität sicher zu stellen und weiter zu entwickeln

Ihr Anforderungsprofil:
- Sie bringen mind. 2 Jahre Erfahrung als dipl. Pflegefachfrau/-mann in einem Akutspital
- Sie verfügen über eine Weiterbildung als Berufsbildner/-in oder sind bereit diese zu absolvieren
- Sie sind eine selbständige, kompetente und flexible Persönlichkeit, die bereit ist, Verantwortung zu übernehmen und kooperativ in einem grossen Team mitzuwirken
- Sie arbeiten in einem anspruchsvollen und vielseitigen Umfeld, in dem Fach-, Sozial-, Selbstkompetenz und situatives Handeln sowie Kundenorientierung einen hohen Stellenwert einnehmen
- Optional bringen Sie Erfahrung im Bereich der Kardiologie, sowie Überwachung mittels Telemetrie mit",Gesundheitswesen,Zürich,8044,7650.0,50.0,23 Aug 2023,18
