,Unnamed: 0,Rank,Job role,Experience Level,Experience detail,Job description,Industry,City,Post Code,Pay total,Pay per hour,Start date,Shift,post_district,comment,country_code,region,town,lat,lng
10,7,8,Mitarbeiter(in) Passagierbetreuung,Betreuungs Agent 1,Grundausbildung wurde absolviert,,Luftverkehr,Zürich-Flughafen,8058,1053.0,26.0,23 Aug 2023,9,Zürich 58 Flughafen Fracht West,PO box only,CH,ZH,Zürich,47.4582165,8.5554755
11,8,9,Koch/Köchin,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Koch/Köchin, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Wofür bist du verantwortlich?

Du arbeitest auf allen Posten in der Küche (Produktion und à la carte)
Du erstellst das tägliche Mise-en-place
Du hältst die vorgegebenen Rezepturen genau ein
Du setzt die internen HACCP-Richtlinien konsequent um

Was bringst du mit?

Eine abgeschlossene Ausbildung als Köchin/Koch EFZ
Gute Deutschkenntnisse, Englischkenntnisse von Vorteil
Ein grosses Interesse an unseren vegetarischen & veganen Köstlichkeiten
Bereitschaft zu Früh- und Spätdiensten ohne Zimmerstunde
Eine qualitätsbewusste Persönlichkeit mit Eigeninitiative und Hygienebewusstsein",Gastronomie / Hotel,Zürich,8001,4080.0,32.0,23 Aug 2023,15,Zürich Zustellkreis,,CH,ZH,Zürich,47.3741561,8.5396323
12,9,10,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"Wir suchen freundliche KellnerInnen für unsere Sportsbar im Airside Center am Flughafen Zürich
Deine Aufgaben:
Bestellungen aufnehmen, Tische vorbereiten, Speisen und Getränke servieren, verschiedene Reinigungsarbeiten durchführen. Deine Schlüsselkompetenzen: Erfahrung im Gastronomiegewerbe, Freundlichkeit und Aufgeschlossenheit, starke Kundenorientierung.",Gastronomie / Hotel,Kloten,8302,5292.0,24.5,23 Aug 2023,27,Gerlisberg,,CH,ZH,Kloten,47.4646047,8.6152048
13,9,10,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"Wir suchen freundliche KellnerInnen für unsere Sportsbar im Airside Center am Flughafen Zürich
Deine Aufgaben:
Bestellungen aufnehmen, Tische vorbereiten, Speisen und Getränke servieren, verschiedene Reinigungsarbeiten durchführen. Deine Schlüsselkompetenzen: Erfahrung im Gastronomiegewerbe, Freundlichkeit und Aufgeschlossenheit, starke Kundenorientierung.",Gastronomie / Hotel,Kloten,8302,5292.0,24.5,23 Aug 2023,27,Kloten,,CH,ZH,Kloten,47.4495116,8.5821648
14,10,12,Logistiker/in,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit (z.B. Be-/Entladen von Lastwagen, Einpacken und Rüsten von Sendungen). Handwerkliches Geschick von Vorteil.","Aufgaben:
• Auffüllen der Regale 
• Be- und Entladen von Lastwagen
• Sorgfältiger Umgang mit der Ware
• Sicherstellung von Ordnung, Sauberkeit und Sicherheit im Lager

Erwartungen:
• Erste Erfahrungen in der Logistik
• Kommunikative Deutschkenntnisse
• Stressresistenz, Flexibilität und Servicebereitschaft
• Transparente Arbeitsweise und guter Teamgeist
• Die Fähigkeit, körperlich zu arbeiten und ein hohes Arbeitstempo zu bewältigen
• Eigenverantwortung und die Fähigkeit, sich ändernden Anforderungen anzupassen
• Eine unabhängige, gut strukturierte, schnelle und detaillierte Arbeitsweise und die Fähigkeit zur Handhabung
• Multitasking
• Pünktlichkeit

Arbeitszeiten können abweichen - FLEXIBILITÄT wird erwartet!
• Für die Garderobe wird ein 5.- Stück benötigt. Bitte zum Einsatz mitnehmen",Promotion / Event,Neuendorf,4623,2430.09,24.12,23 Aug 2023,13,Neuendorf,,CH,SO,Neuendorf,47.2982329,7.7963378
15,11,13,Koch/Köchin,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Koch/Köchin, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Profil: 
- Kochen aus Leidenschaft in der kalten und warmen Küche
- Fliessende Deutschkenntnisse
- Selbständig, teamfähig und belastbar
- Erfahrung in der Gemeinschaftsgastronomie

Aufgaben:
- eigenständiges Arbeiten
- Fertigstellen und selbständiges Produzieren der Speisen
- Mise en place und Rüstarbeiten
- Sicherstellung der Konstanz & Qualität der Speisen bei Kochprozessen
- Mitverantwortung bei der Umsetzung & Überwachung des Hygienekonzeptes

Wichtig
- Je nach Gästeaufkommen können die Einsatz- und Pausenzeiten variieren.",Gastronomie / Hotel,Kaiseraugst,4303,3195.92,30.73,23 Aug 2023,13,Kaiseraugst,,CH,AG,Kaiseraugst,47.5380277,7.7289624
16,11,13,Koch/Köchin,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Koch/Köchin, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Profil: 
- Kochen aus Leidenschaft in der kalten und warmen Küche
- Fliessende Deutschkenntnisse
- Selbständig, teamfähig und belastbar
- Erfahrung in der Gemeinschaftsgastronomie

Aufgaben:
- eigenständiges Arbeiten
- Fertigstellen und selbständiges Produzieren der Speisen
- Mise en place und Rüstarbeiten
- Sicherstellung der Konstanz & Qualität der Speisen bei Kochprozessen
- Mitverantwortung bei der Umsetzung & Überwachung des Hygienekonzeptes

Wichtig
- Je nach Gästeaufkommen können die Einsatz- und Pausenzeiten variieren.",Gastronomie / Hotel,Kaiseraugst,4303,3195.92,30.73,23 Aug 2023,13,Kaiseraugst Liebrüti,PO box only,CH,AG,Kaiseraugst Liebrüti,47.534804,7.7287096
17,12,14,Lastwagenfahrer/in (ab 3.5T),,,"Einsatz auf LKW Kat. C für WB's (Wechselpritschen) gesucht. Feinverteilung von Rollwägeli in der Region Bern/Fribourg im Lebensmittelbereich. Einsatz im Erfahrung mit WB von Vorteil, LKW-Anhängerprüfung von Vorteil. Gute Einarbeitung wird geboten und ein tolles Team...!",Promotion / Event,Münchenbuchsee,3053,7840.0,35.0,23 Aug 2023,28,Deisswil b. Münchenbuchsee,,CH,BE,Deisswil b. Münchenbuchsee,47.0217671,7.4503293
18,12,14,Lastwagenfahrer/in (ab 3.5T),,,"Einsatz auf LKW Kat. C für WB's (Wechselpritschen) gesucht. Feinverteilung von Rollwägeli in der Region Bern/Fribourg im Lebensmittelbereich. Einsatz im Erfahrung mit WB von Vorteil, LKW-Anhängerprüfung von Vorteil. Gute Einarbeitung wird geboten und ein tolles Team...!",Promotion / Event,Münchenbuchsee,3053,7840.0,35.0,23 Aug 2023,28,Diemerswil,,CH,BE,Diemerswil,47.01946,7.4280154
19,12,14,Lastwagenfahrer/in (ab 3.5T),,,"Einsatz auf LKW Kat. C für WB's (Wechselpritschen) gesucht. Feinverteilung von Rollwägeli in der Region Bern/Fribourg im Lebensmittelbereich. Einsatz im Erfahrung mit WB von Vorteil, LKW-Anhängerprüfung von Vorteil. Gute Einarbeitung wird geboten und ein tolles Team...!",Promotion / Event,Münchenbuchsee,3053,7840.0,35.0,23 Aug 2023,28,Hofwil,,CH,BE,Münchenbuchsee,47.021641,7.4618211
20,12,14,Lastwagenfahrer/in (ab 3.5T),,,"Einsatz auf LKW Kat. C für WB's (Wechselpritschen) gesucht. Feinverteilung von Rollwägeli in der Region Bern/Fribourg im Lebensmittelbereich. Einsatz im Erfahrung mit WB von Vorteil, LKW-Anhängerprüfung von Vorteil. Gute Einarbeitung wird geboten und ein tolles Team...!",Promotion / Event,Münchenbuchsee,3053,7840.0,35.0,23 Aug 2023,28,Lätti,,CH,BE,Lätti,47.0392518,7.4307744
21,12,14,Lastwagenfahrer/in (ab 3.5T),,,"Einsatz auf LKW Kat. C für WB's (Wechselpritschen) gesucht. Feinverteilung von Rollwägeli in der Region Bern/Fribourg im Lebensmittelbereich. Einsatz im Erfahrung mit WB von Vorteil, LKW-Anhängerprüfung von Vorteil. Gute Einarbeitung wird geboten und ein tolles Team...!",Promotion / Event,Münchenbuchsee,3053,7840.0,35.0,23 Aug 2023,28,Münchenbuchsee,,CH,BE,Münchenbuchsee,47.021621,7.450367
22,12,14,Lastwagenfahrer/in (ab 3.5T),,,"Einsatz auf LKW Kat. C für WB's (Wechselpritschen) gesucht. Feinverteilung von Rollwägeli in der Region Bern/Fribourg im Lebensmittelbereich. Einsatz im Erfahrung mit WB von Vorteil, LKW-Anhängerprüfung von Vorteil. Gute Einarbeitung wird geboten und ein tolles Team...!",Promotion / Event,Münchenbuchsee,3053,7840.0,35.0,23 Aug 2023,28,Wiggiswil,,CH,BE,Wiggiswil,47.0304454,7.4689046
23,13,15,Handwerk & Auf-/Abbau,Handwerk gelernt,"Schreiner/in, Zimmermann/Zimmerin, Zelt-, Bühnen- und Messebauer/in, etc. mit abgeschlossener handwerklicher Berufslehre.","Beschreibung:

1.) Funktionsumschreibung
-Ausführen von Instandhaltungs-, Wartungs- und Inspektionsarbeiten gemäss Vorgaben.
-Austauschen und Prüfen von Komponenten gemäss Vorgaben.
-Durchführen von Kontroll- und Änderungsaufträge gemäss Vorgaben und Feststellen von Abweichungen.

2.) Aufgabenschwerpunkte
-Führt Wartungs-, Einstellungs- und Inspektionsarbeiten gemäss den technischen Vorgaben aus.
-Führt Messungen gemäss den technischen Vorgaben durch und füllt Messprotokolle aus.
-Löst für die festgestellten Abweichungen die nötigen Instandsetzungsmassnahmen aus (mit Hilfe von Funktions- und Sichtkontrollen sowie einfachen Messungen).
-Ersetzt Abnützungsteile und führt Einstellarbeiten im Rahmen der Wartungsvorgaben durch.
-Meldet die ausgeführten Arbeiten sowie die erhobenen Daten gemäss Vorgaben zurück.
-Führt eindeutig dokumentierte oder klar beauftragte Instandsetzungsarbeiten durch und meldet diese gemäss Vorgaben zurück.
-Führt Störungsdiagnosen (basierend auf eindeutigen Sicht- und Funktionskontrolle) durch und meldet diese fachgerecht zurück.
-Führt Komponententausche gemäss Vorgabe oder mit Begleitung durch.
-Meldet die ausgeführten Arbeiten gemäss Prozess zurück.
-Führt einfache, vollständig dokumentierte Änderungs- und Kontrollaufträge gemäss Vorgaben oder mit Begleitung durch.
-Stellt Abweichungen resp. Verbesserungspotential im Prozess fest (KVP, MOM) und meldet diese an die zuständige Stelle.",Promotion / Event,Weinfelden,8570,42961.22,31.37,23 Aug 2023,166,Weinfelden,,CH,TG,Weinfelden,47.5660299,9.1084456
24,14,16,Fachmann/frau Gesundheit EFZ (angepasste Ausbildungen),Gelernt,Die Ausbildungsnachweise (Zertifikate / Diplome) müssen auf dem Coople-Account hinterlegt sein. Die NAREG-Nr. ist im Lebenslauf zu erwähnen.,"Unter dem Dach « da » (CSEB) / «Gesundheitszentrum Unterengadin» gehen wichtige regionale Anbieter in den Bereichen Gesundheitsversorgung und Wellness einen gemeinsamen Weg. 

Die Langzeitpflege im Unterengadin richtet sich nach einem ganzheitlichen und dezentralen Pflege- und Betreuungsmodell, bei welchem die bedürftigen Menschen im Zentrum stehen. Ihre Lebensqualität zu erhalten und zu fördern ist das Hauptziel der Chüra-Betriebe. Diese umfassen zwei Pflegegruppen und zwei Pflegeheime mit insgesamt 110 Betten, eine Spitex sowie eine Beratungsstelle.

Wir suchen für die Chüra-Betriebe in Scuol nach Vereinbarung eine/-n Fachfrau/-mann Gesundheit FaGe.

Hauptaufgaben: 
- Ganzheitliche Betreuung der Bewohnenden gemäss Pflegeprozessplanung
- Dokumentation der Pflege und Mitarbeit beim Erstellen von Pflegeplanungen
- Aktive Mitarbeit im Bezugspflegesystem, Planung und Dokumentation von Teilschritten im Pflegeprozess in enger Zusammenarbeit mit den Dipl. Pflegefachpersonen
- Führung des Pflegeteams und Koordination des Tagesablaufs innerhalb einer Pflegegruppe im Rahmen der Tagesverantwortung

Anforderungsprofil:
- Ausbildung mit Abschluss zur Fachfrau / zum Fachmann Gesundheit EFZ oder äquivalente Anerkennung
- Bereitschaft zu unregelmässiger Arbeitszeit sowie Nachtdienst
- Sichere Kommunikation in der deutschen Sprache
- Belastbare und ausgeglichene Persönlichkeit
- Kenntnisse in der EDV-gestützten Pflegedokumentation
- Teamfähigkeit, Engagement und Selbständigkeit

Unser Angebot:
- Interessante und vielseitige Tätigkeit in einer innovativen Arbeitsumgebung,
- Moderne Infrastruktur
- Angenehmes Arbeitsklima
- Zeitgemässe Anstellungsbedingungen
- Interdisziplinäre Zusammenarbeit
- Interne und externe Zusammenarbeit

Wir freuen uns auf Ihre Bewerbung.

>>> Achtung, die erfassten Schichten sind fiktiv und werden zu einem späteren Zeitpunkt besprochen. Mit der Ausschreibung des Einsatzes wird eine Festanstellung angestrebt. <<<",Gesundheitswesen,Scuol,7550,2054.74,31.37,23 Aug 2023,8,S-charl,,CH,GR,Scuol,46.7155952,10.3345792
