Rank,Job role,Experience Level,Experience detail,Job description,Industry,City,Post Code,Pay total,Pay per hour,Start date,Shift
18,Logistiker/in,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Logistiker/in, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Wir haben die perfekte Gelegenheit für dich! Suchst du einen Einstieg als Temporärarbeiter mit der Aussicht auf eine Festanstellung bei COOPLE? Hier sind einige der aufregenden Vorteile, die eine Anstellung bei uns mit sich bringt:

• Nutze dein Temptraining-Weiterbildungs-Guthaben. Alle Informationen findest du hier.
• Jeden Monat gibt es ein Geschenk für den fleißigsten Coopler, inklusive eines 50.- Gutscheins.
• Du kannst am ""We Are Coopler Wettbewerb"" teilnehmen und bis zu 500.- Bargeld gewinnen.
• In unserer Winter-/Sommer-Bonus-Kampagne hast du die Chance, CHF 1'000 zu gewinnen, indem du mehr als 5 Schichten innerhalb des Zeitraums absolvierst. Dabei erhöhst du deine Gewinnchance bei Vielfachen von 5 Schichten.

Das Beste daran? 
Deine Treue wird belohnt! Bei einem Vollzeiteinsatz erhältst du einen Bonus von insgesamt 500 CHF, aufgeteilt wie folgt: Nach dem 1. Monat 100 CHF, nach dem 3. Monat 150 CHF und nach dem 6. Monat 250 CHF.

Arbeitsort Zürich
Pensum % 100%
Nachtarbeit ☒ Ja 
Wochenendarbeit ☒ Ja 
Schichtarbeit ☒ Ja

Uhrzeit erste Schicht
13.11.2023 - 31.03.2024
Schichtdienste zwischen 05.00 – 01.30

Funktionsumschreibung
• Lädt Züge ein, aus und um.
• Sortiert Reisegepäck und Dienstpost
• Transportiert das Reisegepäck mittels Strassenfahrzeuge (3.5t) zu den Bahnhöfen in der
Region Zürich.

Aufgabenschwerpunkte
• Übergibt und übernimmt Informationen (mündlich, schriftlich, mittels EDV, etc.)

Kompetenzen 
• Gegengewichtsstapler Fahrausweis
• Deutsch B2 
• Mobil ( Auto oder Motorrad muss vorhanden sein )
• Kat. B
• Führerausweis E (Anhänger) - Optimal

Fach- und Methodenkompetenz (z.B. Berufserfahrung, Fachkenntnisse, etc.) Zwingend Optional
• Hat Erfahrung als Lieferwagenfahrer 
• Benutzt eigenverantwortlich die für die Tätigkeit vorgesehenen Maschinen
und Geräte (Gegengewichtsstapler, Lieferwagen)

• Wendet Betriebsmittel korrekt an 
• Prüft die erledigten Aufträge selbständig 
• Kann IT-Programme und Hilfsmittel (Mail, MIT, Intranet) nutzen",Promotion / Event,Zürich,8048,35813.76,32.44,15 Nov 2023,138
19,Logistiker/in,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit (z.B. Be-/Entladen von Lastwagen, Einpacken und Rüsten von Sendungen). Handwerkliches Geschick von Vorteil.","Aufgaben:
• Auffüllen der Regale 
• Be- und Entladen von Lastwagen
• Sorgfältiger Umgang mit der Ware
• Sicherstellung von Ordnung, Sauberkeit und Sicherheit im Lager

Erwartungen:
• Erste Erfahrungen in der Logistik
• Kommunikative Deutschkenntnisse
• Stressresistenz, Flexibilität und Servicebereitschaft
• Transparente Arbeitsweise und guter Teamgeist
• Die Fähigkeit, körperlich zu arbeiten und ein hohes Arbeitstempo zu bewältigen
• Eigenverantwortung und die Fähigkeit, sich ändernden Anforderungen anzupassen
• Eine unabhängige, gut strukturierte, schnelle und detaillierte Arbeitsweise und die Fähigkeit zur Handhabung
• Multitasking
• Pünktlichkeit

Arbeitszeiten können abweichen - FLEXIBILITÄT wird erwartet!
• Für die Garderobe wird ein 5.- Stück benötigt. Bitte zum Einsatz mitnehmen",Promotion / Event,Neuendorf,4623,934.65,24.12,15 Nov 2023,5
20,Handwerk & Auf-/Abbau,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit. Handwerkliches Geschick von Vorteil. Die Aufgaben können von einfachen Handlangertätigkeiten (z.B. Mobiliaraufbau), bis zu handwerklichen Tätigkeiten reichen.","Tiefkühl Anlagenbetreuer 

Wir suchen dich als Temporärarbeiter mit der Aussicht auf eine Festanstellung bei «». COOPLE bietet attraktive Vorteile, darunter:

Anspruch auf Temptraining Weiterbildungs-Guthaben: [Link zu [link hidden]]
Monatliche Anerkennung für besonders engagierte Coopler mit Geschenk und einem 50.- SBB Gutschein.
Teilnahme am ""We Are Coopler Wettbewerb"" mit bis zu 500.- Bargeldgewinn.
Winter-/Sommer-Bonus-Kampagne: Chance auf CHF 1'000 bei über 5 absolvierten Schichten im Zeitraum.
Treue wird belohnt: Bei Vollzeiteinsatz erhältst du einen Bonus von 500 CHF, gestaffelt nach dem 1., 3. und 6. Monat.
 
Aufgaben

-Behebungen von Störungen (Anlagenbetreuer) 
-Unterstützung der Anlagenbediener/Lagermitarbeiter 
-Bedienen der Systeme und Anlage zur Sicherstellung des Betriebes 
-Erkennen von Fehlerfällen innerhalb der Prozesse im eigenen Aufgabenbereich 
-Information bei Prozessabweichungen 
-Einhaltung der Arbeitssicherheit 
-Einhalten der Betriebsordnung 
-Sicherstellung der Ordnung und Sauberkeit am Arbeitsplatz (QS) 
-Mitverantwortung für Zustand und Unterhalt der Infrastruktur und Anlagen 
-Umsetzen des Entsorgungskonzeptes 
-Aktives Mitwirken zur Erreichung der Abteilung – und Unternehmensziele 
 
Anforderungen: 
-Rasche Auffassungsgabe 
-Selbstständige Arbeitsweise 
-Belastbar und Zuverlässig 
-Gute mündliche und schriftliche Deutschkenntnisse 
-Computer– Kenntnisse 
-Interesse an Automation und Technik 
-Bereitschaft zur Schichtarbeit inkl. Wochenenden 
-Arbeit in gekühlter Umgebung bei -8°C (-23°C) 

Bereitschaft für Schicht und Samstagarbeit
Früh-/Spätschicht Wechselschichten 1 Wochen Rhythmus: 
Frühschicht: 05:30 - 14:12 (ohne ÜZ). 05:30 - 15:30 (mit ÜZ) 
Spätschicht: 13:45 - 22:27 (ohne ÜZ). 15:00 - 00:30 (mit ÜZ)
6 Tages- Abdeckung Mo.- Sa. mit Wechsel des freien Tages

Vor dem Probetagstart würden wir gerne die Kandidaten zu einer Schnupperstunde einladen
-Dauer Ca. 60 Minuten",Promotion / Event,Schafisheim,5503,28827.4,27.92,15 Nov 2023,118
21,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"- Bedienen der Gäste an der Theke mit Inkasso und Zubereiten der Speisen und Getränke 
- Betreuung des Frontbereichs (Abräumen und Kontrolle auf Sauberkeit) 
- Warenpräsentation / Verkaufsbereitschaft gemäss Vorgaben",Gastronomie / Hotel,Zürich,8001,1296.0,27.0,15 Nov 2023,6
22,Promoter/in (Berater/in),,,"Wir suchen dich als Mitarbeiter bei der . 

Die Schichten sind FIKTIV und werden durch den Einsatzbetrieb ( ) zu einem späteren Zeitpunkt kommuniziert.
Start nach Vereinbarung

Wir behalten uns vor, Bewerber direkt abzulehnen die gemäss Profilbeschreibung nicht passen.
Bei Fragen, wende dich bitte direkt an coople und nicht an die .
Die Kommunikation über ausgeschriebene Jobs, geht ausschliesslich über coople.

Funktionsumschreibung 
• Aus sicherheitstechnischen Gründen werden die Türen bei überlangen Zügen an gewissen Bahnhöfen zwischen
Bad Zurzach und Koblenz geschlossen. 
Unsere Kunden müssen im Zug auf andere Ausstiegsmöglichkeiten
gelenkt werden.

Arbeitsort: 
Koblenz/Bad Zurzach
Täglich Touren Mo-Fr
05:44-09:13 ab/an Koblenz
15:44-19:13 ab/an Koblenz
Pensum 30- 50%

Aufgabenschwerpunkte 
• Lenkt die Reisenden bei den überlangen Zügen für das Aussteigen auf die nächste Türe 

Kompetenzen
• Bereitschaft zu unregelmässiger Arbeitszeit, (nur Früh- oder Spätdienst, keine Wochenendeinsätze)
• Eigenverantwortung, Flexibilität, Selbstständigkeit und Kundenorientierung
• Digitale Kenntnisse

Sprachkenntnisse
• Deutsch B1",Promotion / Event,Koblenz,5322,10502.25,25.46,15 Nov 2023,33
24,Logistiker/in,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Logistiker/in, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Wir suchen einen Logistik Spezialisten der bei der und Koordination des Teams hilft.
Es winken attraktive Weiterentwicklungsmöglichkeiten sowie die Aussicht auf eine Festanstellung!

Anforderungen:
• Umfangreiche Organisations- und Planungserfahrung
• Erfolgreich abgeschlossene Berufslehre (erfolgreich absolvierte Weiterbildung im Bereich Logistik, Logistikfachmann, ist 
 erwünscht)
• Kostenbewusstsein
• Gute mündliche und schriftliche Sprachkenntnisse in Deutsch, Französisch von Vorteil
• Hohes Engagement und Teamfähigkeit
• Veränderungswille und Entscheidungsfreude

WICHTIG: Talent für umfangreiche / Organisationsplanung sowie gute Excel-Kenntnisse werden vorausgesetzt

Hauptaufgaben:
•  , Weiterentwicklung und Koordination des Teams
• Kostenbewusstes Führen und Anleiten der Mitarbeiter 
• Kommunizieren mit internen und externen Prozessbeteiligten
• Aktive Unterstützung der Bereichsleitung
• Aktives Messen, Bearbeiten und verbessern von KPI's
• Prozessoptimierungen und Prozessvereinfachungen innerhalb der Abteilung identifizieren und umsetzen
• Interner und standortübergreifender ""Best Practice"" Transfer 
• Unterstützung der MA bei der operativen Lagertätigkeit 
• Stellvertretung der Bereichsleitung bei Abwesenheit

Wichtige Outputs:
• Zeitgerechte Verarbeitung der Kundenbestellungen
• Vollständige Verarbeitung der Kundenbestellungen
• Sicherstellung der Produktivität der MA
• Prozessverbesserungen
• Fähige und engagierte MA
• Optimale Kosten 
• Unterstützung der Bereichsleitung",Promotion / Event,Hochdorf,6280,12226.5,38.0,15 Nov 2023,33
26,Logistiker/in,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit (z.B. Be-/Entladen von Lastwagen, Einpacken und Rüsten von Sendungen). Handwerkliches Geschick von Vorteil.","Zur Verstärkung unseres Teams im Bereich Kommissionierung suchen wir per sofort befristet bis zum 31. Dezember 2023, am Standort Hochdorf, eine motivierte und engagierte Lageraushilfe 60-80% (d/w/m).

Die oben abgebildeten Einsatztage- und zeiten sind lediglich beispielhaft aufgeführt. Die effektiven Einsatztage und -zeiten werden vor Ort zwischen dem Einsatzbetrieb und dem Arbeitnehmenden vereinbart. Schichtbeginn um 06.00 Uhr. 

Deine Verantwortung
• Du kommissionierst die Ware aufgrund von Bestellungen der Warenhäuser.
• Du übernimmst die Beförderung und die direkte Aufgabe der kommissionierten Ware via Transportanlagen oder auf den zum • • Weitertransport vorgesehenen Plätzen.
• Du erledigst diverse weiterführende Lagerarbeiten.
• Du sortierst und entsorgst das Verpackungsmaterial nach Vorgaben.
• Du hältst die Ordnungs-, Sauberkeits- und Sicherheitsstandards konsequent ein.
• Du hilfst bei Bedarf in anderen Abteilungen aus.

Ihr Profil
• Du hast von Vorteil bereits erste Berufserfahrung in der Kommissionierung gesammelt.
• Du besitzt idealerweise den SUVA anerkannten Staplerausweis.
• Du bist mit dem Umgang von Kommissionierfahrzeugen vertraut oder bereit das Fahrzeug kennen zu lernen.
• Du bist vielseitig einsetzbar, packst gerne mit an und magst körperlich anspruchsvolle Arbeiten.
• Du verfügst über einen selbstständigen und effizienten Arbeitsstil, kannst jedoch auch in der Teamarbeit überzeugen.
• Du hast eine gute Auffassungsgabe und ein gutes vernetztes Denken.
• Du bist flexibel nach Einsatzplan auch bereits ab 06.00 Uhr verfügbar und bereit unregelmässig Samstagsarbeit nach Bedarf zu leisten.
• Du sprichst fliessend Deutsch.",Promotion / Event,Hochdorf,6280,9286.2,24.12,15 Nov 2023,42
31,Personenwagenfahrer/in (bis 3.5T),,,"Wir suchen dich als Temporärarbeiter mit der Aussicht auf eine Festanstellung bei «». COOPLE bietet attraktive Vorteile, darunter:

Anspruch auf Temptraining Weiterbildungs-Guthaben: [Link zu [link hidden]]
Monatliche Anerkennung für besonders engagierte Coopler mit Geschenk und einem 50.- SBB Gutschein.
Teilnahme am ""We Are Coopler Wettbewerb"" mit bis zu 500.- Bargeldgewinn.
Winter-/Sommer-Bonus-Kampagne: Chance auf CHF 1'000 bei über 5 absolvierten Schichten im Zeitraum.
Treue wird belohnt: Bei Vollzeiteinsatz erhältst du einen Bonus von 500 CHF, gestaffelt nach dem 1., 3. und 6. Monat.

Aufgaben:

Beladung des 3,5-Tonnen-Lieferfahrzeugs gemäß Ladeliste
Gewährleistung von Qualität und Hygiene
Pünktliche Auslieferung von Kundenaufträgen
Zahlungsverkehr, Retourenabwicklung, Leergutrücknahme
Tourenabrechnung, Fahrzeugpflege, ökonomische Fahrweise
Hauptsächlich Nachmittagsschichten (Mo-Sa, 12-21 Uhr)
Anforderungen:

Gute Deutschkenntnisse
Gute körperliche Verfassung
Sauberer Strafregisterauszug
Bereitschaft zu Früh-, Spät- & Samstagschichten
Zwingend:

Eigene Sicherheitsschuhe
Gültiger CH-Führerausweis Kat. B im Coople Profil hochladen

PROBETAG FINDET IN STATT",Promotion / Event,Spreitenbach,8957,11168.0,27.92,15 Nov 2023,40
32,Logistiker/in,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit (z.B. Be-/Entladen von Lastwagen, Einpacken und Rüsten von Sendungen). Handwerkliches Geschick von Vorteil.","Als Logistikmitarbeiter für die Verpackung der Ware übernimmst du folgende Aufgaben:

Auftrag:
- Verpackung aller -Kundenaufträge gemäss Vorgaben
- Kommissionierung von Kundenaufträgen mit mobilen Handscanner

Je nach Bedarf kannst du auch in anderen Bereichen eingesetzt werden:
Wareneingang -> Entgegennahme der Ware, Kontrolle
Picken -> Kommissionieren der Ware (verschiedene Positionen & Arten)
Packen -> Verpacken der Ware
Verarbeitung -> Kleidung auf Bügel ziehen, Etiketten und Sicherungen anbringen
Warenausgang -> Stapeln/Einladen der Gebinde

Mindestpensum 60%, mit Option auf höheres Pensum

Anforderungen:
Gute Deutschkenntnisse
Zuverlässig, speditiv und genau
Hohes Mass an Flexibilität
Belastbar
Längeres Stehen und Heben von Lasten

Organisation:
Die angegebenen Zeiten sind fiktiv, werden aber voraussichtlich so ablaufen (Schichtbeginn zwischen 06.00 und spätestens 07.00 Uhr). Die genaue Planung erhältst du direkt vom Einsatzbetrieb vor Ort. Wir suchen Mitarbeiter, die bei allen ausgeschriebenen Schichten arbeiten können.

Unser Standort ist nahe beim Bahnhof. Kostenlose Parkplätze stehen ausserdem vor Ort zur Verfügung. 
Pünktlichkeit wird aus organisatorischen Gründen absolut erwartet.
Sollte es zu Verzögerungen kommen, informiere unbedingt die zuständige Kontaktperson bei .

Wenn Schlüssel oder Legic nach Beendigung des Einsatzes nicht abgegeben werden, wird pro Gegenstand CHF 50.00 abgezogen.",Promotion / Event,Otelfingen,8112,8147.2,25.46,15 Nov 2023,40
35,Service Gastronomie,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Restaurationsfachmann/frau, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Betreuen von Kaffeepausen/Lunch/Fresh up/Apéro/Dinnerbuffet/Menu/polier/Reinigungsarbeiten/Räume unbauen und Gardrobendienste fallen an
Vorraussetzung: tragen von 3 Tellern / je nach Bedarf kann die Arbeitszeit varieren ( + /- 1-2 Stunden )",Gastronomie / Hotel,Rümlang,8153,450.0,30.0,15 Nov 2023,3
