Rank,Job role,Experience Level,Experience detail,Job description,Industry,City,Post Code,Pay total,Pay per hour,Start date,Shift
14,Handwerk & Auf-/Abbau,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit. Handwerkliches Geschick von Vorteil. Die Aufgaben können von einfachen Handlangertätigkeiten (z.B. Mobiliaraufbau), bis zu handwerklichen Tätigkeiten reichen.","Anlagenbetreuer Tiefkühl

 

Aufgaben

-Behebungen von Störungen (Anlagenbetreuer) 
-Unterstützung der Anlagenbediener/Lagermitarbeiter 
-Bedienen der Systeme und Anlage zur Sicherstellung des Betriebes 
-Erkennen von Fehlerfällen innerhalb der Prozesse im eigenen Aufgabenbereich 
-Information bei Prozessabweichungen 
-Einhaltung der Arbeitssicherheit 
-Einhalten der Betriebsordnung 
-Sicherstellung der Ordnung und Sauberkeit am Arbeitsplatz (QS) 
-Mitverantwortung für Zustand und Unterhalt der Infrastruktur und Anlagen 
-Umsetzen des Entsorgungskonzeptes 
-Aktives Mitwirken zur Erreichung der Abteilung – und Unternehmensziele 

 

 

Anforderungen: 
-Rasche Auffassungsgabe 
-Selbstständige Arbeitsweise 
-Belastbar und Zuverlässig 
-Gute mündliche und schriftliche Deutschkenntnisse 
-Computer– Kenntnisse 
-Interesse an Automation und Technik 
-Bereitschaft zur Schichtarbeit inkl. Wochenenden 
-Arbeit in gekühlter Umgebung bei -8°C (-23°C) 

Bereitschaft für Schicht und Samstagarbeit
Frühschicht: 05:30 - 14:15
Mittelschicht: 07:15 - 16:00
Spätschicht: 13:45 - 22:30

Freie Samstage gemäss Vorgabe

Schichtwechsel im Wochenrhythmus

Vor dem Probetagstart würden wir gerne die Kandidaten zu einer Schnupperstunde einladen
-Empfang Gebäude B 2OG - 08:15 Uhr
-Dauer Ca. 60 Minuten",Promotion / Event,Schafisheim,5503,30293.2,27.92,8 Nov 2023,124
16,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"Für die SWISS Business Class Lounge im Terminal A am Flughafen suchen wir eine/n engagierte/n Servicefachmitarbeiter/in zur Unterstützung der Buffetpflege sowie Abräumen der Tische.
ZWINGEND AUSWEISDOKUMENT ZUM EINSATZ MITBRINGEN.

Bei Anfahrt mit dem Auto kann nach erfolgter Anstellung eine Parkkarte bei Coople (mailto: [link hidden]) beantragt werden. Die aufladbare Parkkarte ist anschliessend nach 2 Arbeitstagen (Mo-Fr) auf dem Ausweisbüro des Flughafen Zürichs abholbereit.


Uniform:
Schwarze klassische Arbeitsschuhe, Schwarzes langärmeliges Shirt ( ohne aufdrucke )und schwarze Bundfaltenhosen durch den Arbeitnehmer mitzubringen.
Keine sichtbaren Tattoos und Piercing",Gastronomie / Hotel,Zürich,8060,698.32,24.08,8 Nov 2023,4
17,Logistiker/in,Ungelernt mit >20 Monaten Erfahrung,Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit muss im CV aufgeführt sein. Personen mit einer abgeschlossenen Berufsausbildung im Logistikbereich müssen sich im entsprechenden Jobprofil registrieren.,"Das Team muss an diesen Tagen Unterstüztung von einer tatkräftigen Person haben, Ware verteilen, Leergut einsammeln. Entsorgungen",Promotion / Event,Kloten,8058,1586.67,28.0,8 Nov 2023,10
18,Logistiker/in,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Logistiker/in, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Wir suchen einen Logistik Spezialisten der bei der und Koordination des Teams hilft.
Es winken attraktive Weiterentwicklungsmöglichkeiten sowie die Aussicht auf eine Festanstellung!

Anforderungen:
• Umfangreiche Organisations- und Planungserfahrung
• Erfolgreich abgeschlossene Berufslehre (erfolgreich absolvierte Weiterbildung im Bereich Logistik, Logistikfachmann, ist 
 erwünscht)
• Kostenbewusstsein
• Gute mündliche und schriftliche Sprachkenntnisse in Deutsch, Französisch von Vorteil
• Hohes Engagement und Teamfähigkeit
• Veränderungswille und Entscheidungsfreude

WICHTIG: Talent für umfangreiche / Organisationsplanung sowie gute Excel-Kenntnisse werden vorausgesetzt

Hauptaufgaben:
•  , Weiterentwicklung und Koordination des Teams
• Kostenbewusstes Führen und Anleiten der Mitarbeiter 
• Kommunizieren mit internen und externen Prozessbeteiligten
• Aktive Unterstützung der Bereichsleitung
• Aktives Messen, Bearbeiten und verbessern von KPI's
• Prozessoptimierungen und Prozessvereinfachungen innerhalb der Abteilung identifizieren und umsetzen
• Interner und standortübergreifender ""Best Practice"" Transfer 
• Unterstützung der MA bei der operativen Lagertätigkeit 
• Stellvertretung der Bereichsleitung bei Abwesenheit

Wichtige Outputs:
• Zeitgerechte Verarbeitung der Kundenbestellungen
• Vollständige Verarbeitung der Kundenbestellungen
• Sicherstellung der Produktivität der MA
• Prozessverbesserungen
• Fähige und engagierte MA
• Optimale Kosten 
• Unterstützung der Bereichsleitung",Promotion / Event,Hochdorf,6280,14079.0,38.0,8 Nov 2023,38
19,Logistiker/in,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit (z.B. Be-/Entladen von Lastwagen, Einpacken und Rüsten von Sendungen). Handwerkliches Geschick von Vorteil.","Als Logistikmitarbeiter für die Kommissionierung der Ware - ""Picken"" - übernimmst du folgende Aufgaben:

Auftrag:
- Speditive Kommissionierung von Kundenaufträgen mit mobilen Handscanner
- Verteilung der Komissionierten Ware an die Zuständigen Pack Stationen

Je nach Bedarf kannst du auch in anderen Bereichen eingesetzt werden:
Wareneingang -> Entgegennahme der Ware, Kontrolle
Packen -> Verpacken der Ware
Verarbeitung -> Kleidung auf Bügel ziehen, Etiketten und Sicherungen anbringen
Warenausgang -> Stapeln/Einladen der Gebinde

Mindestpensum 60%, mit Option auf höheres Pensum

Anforderungen:
Gute Deutschkenntnisse
Zuverlässig, speditiv und genau
Hohes Mass an Flexibilität
Belastbar
Längeres Stehen und Heben von Lasten

Organisation:
Die angegebenen Zeiten sind fiktiv, werden aber voraussichtlich so ablaufen (Schichtbeginn zwischen 06.00 und spätestens 07.00 Uhr). Die genaue Planung erhältst du direkt vom Arbeitgeber vor Ort. Wir suchen Mitarbeiter, die bei allen ausgeschriebenen Schichten arbeiten können.

Unser Standort ist nahe beim Bahnhof. Kostenlose Parkplätze stehen ausserdem vor Ort zur Verfügung. 
Pünktlichkeit wird aus organisatorischen Gründen absolut erwartet.
Sollte es zu Verzögerungen kommen, informiere unbedingt die zuständige Kontaktperson bei .

Wenn Schlüssel oder Legic nach Beendigung des Einsatzes nicht abgegeben werden, wird pro Gegenstand CHF 50.00 abgezogen.",Promotion / Event,Otelfingen,8112,9369.28,25.46,8 Nov 2023,46
20,Personenwagenfahrer/in (bis 3.5T),,,"Cahier des charges:

- Déchargement et triage de colis pour les tournées concernées
- Triage des colis à l'aide d'un logiciel spécifique 
- Déchargement bennes

Compétences:

- Connaissance de la région Genevoise
- Français parlé
- Résistance physique 

Les horaires de travail peuvent varié selon les besoins journaliers (quantité de bennes reçues etc)

La mission de base peut être prolongée dans le temps par la suite.

Les horaires varient en général de 1h30 à 2h00 par jour suivant les besoins et arrivages.

Job idéal en complément d'un autre emploi à temps partiel ou à temps complet.

Information importante: Il est strictement interdit de se garer sur le parking privé de la société. Des places sont disponibles sur l'espace public aux alentours du dépôt.",Promotion / Event,Meyrin,1242,831.42,26.82,8 Nov 2023,17
22,Spülküchen-Mitarbeiter/in mit Erfahrung,,,"Sie unterstützen unser Team im Office
Dort erledigen Office- Abwascharbeiten sowie sonstige Arbeiten.

Ein Ausweisdokument ist zwingend erfordelich und mituzbringen.",Gastronomie / Hotel,Rotkreuz ZG,6343,227.5,26.0,8 Nov 2023,1
23,Personenwagenfahrer/in (bis 3.5T),,,"Cahier des charges :

- Charger le camion à (colis pour la tournée y relative)
- Préparer la tournée à l'aide du logiciel spécifique
- Prise en charge de colis, selon protocole établi

Compétences :

- Connaître la région du Valais.
- Français et allemand parlé
- Sens de l'accueil
- Résistance physique

L'horaire de travail peut varié selon les arrivages du matin.

La mission de base peut etre prolongée dans le temps par la suite.

-----

Aufgaben:

- Transporter in beladen
- Die Tour mit dem Scanner und der spezifischen Software vorbereiten/planen
- Die Tour erledigen und die Pakete den Kunden zustellen
- Pakete gemäss Protokoll zurücknehmen

Fähigkeiten:

- Gute Ortskenntnisse in der Region
- Gut in Französisch und Deutsch
- Gute Umgangsform / Kundenorientiert
- Kräftig


Ihre Arbeitszeiten können variieren je nach Anzahl der Pakete / Stopps",Promotion / Event,Saillon,1913,820.08,24.12,8 Nov 2023,17
25,Schreiner/in (EFZ/EBA),EFZ oder EBA und >3 Jahre Erfahrung,"Du verfügst über eine der folgenden Ausildungen: 1) einem eidgenössischen Berufsabschluss als Schreiner/in EFZ, oder 2) ein eidgenössisches Berufsattest - Schreinerpraktiker/in EBA und mehr als 3 Jahre Berufserfahrung als Schreiner/in, oder 3) eine abgeschlossene 3-jährige anerkannte Berufsausbildung als Schreiner/in in einem beliebigen Land.","Für ein Bauprojekt in Laax suchen wir einen erfahrenen Schreiner für diverse Arbeiten im Innenausbau (Bau und Montage Saunabänke, Installation Wandpanelen, etc.). Eine Unterkunft vor Ort kann nach Absprache zur Verfügung gestellt werden.",Handwerk,Laax,7031,1500.0,40.0,8 Nov 2023,5
27,Logistiker/in,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit (z.B. Be-/Entladen von Lastwagen, Einpacken und Rüsten von Sendungen). Handwerkliches Geschick von Vorteil.","Als Logistikmitarbeiter für die Verpackung der Ware übernimmst du folgende Aufgaben:

Auftrag:
- Verpackung aller -Kundenaufträge gemäss Vorgaben
- Kommissionierung von Kundenaufträgen mit mobilen Handscanner

Je nach Bedarf kannst du auch in anderen Bereichen eingesetzt werden:
Wareneingang -> Entgegennahme der Ware, Kontrolle
Picken -> Kommissionieren der Ware (verschiedene Positionen & Arten)
Packen -> Verpacken der Ware
Verarbeitung -> Kleidung auf Bügel ziehen, Etiketten und Sicherungen anbringen
Warenausgang -> Stapeln/Einladen der Gebinde

Mindestpensum 60%, mit Option auf höheres Pensum

Anforderungen:
Gute Deutschkenntnisse
Zuverlässig, speditiv und genau
Hohes Mass an Flexibilität
Belastbar
Längeres Stehen und Heben von Lasten

Organisation:
Die angegebenen Zeiten sind fiktiv, werden aber voraussichtlich so ablaufen (Schichtbeginn zwischen 06.00 und spätestens 07.00 Uhr). Die genaue Planung erhältst du direkt vom Einsatzbetrieb vor Ort. Wir suchen Mitarbeiter, die bei allen ausgeschriebenen Schichten arbeiten können.

Unser Standort ist nahe beim Bahnhof. Kostenlose Parkplätze stehen ausserdem vor Ort zur Verfügung. 
Pünktlichkeit wird aus organisatorischen Gründen absolut erwartet.
Sollte es zu Verzögerungen kommen, informiere unbedingt die zuständige Kontaktperson bei .

Wenn Schlüssel oder Legic nach Beendigung des Einsatzes nicht abgegeben werden, wird pro Gegenstand CHF 50.00 abgezogen.",Promotion / Event,Otelfingen,8112,9369.28,25.46,8 Nov 2023,46
28,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"Serviceaushilfe, Allrounder, Runner, Zoom Restaurant, The Circle 1",Gastronomie / Hotel,Kloten,8302,1387.5,30.0,8 Nov 2023,7
29,Service Gastronomie,Ungelernt mit >20 Monaten Erfahrung,Personen ohne eidgenössisches Fähigkeitszeugnis (EFZ) als Spezialist für Gastronomie mit mehr als 20 Monaten Erfahrung oder Personen mit eidgenössischem Berufsattest (EBA) und weniger als drei Jahren Berufserfahrung im Referenzsektor.,"Betreuung der Gäste des am Frontoffice von der Ankunft bis zur Abreise 
- Begrüssung
- Informationen zum Haus und zum Aufenthalt an den Gast weitergeben
- Verabschiedung 

Selbstständige Erledigung kleinerer administrativer Arbeiten gemäss Briefing

Verantwortung für die Sauberkeit und Ordnung im Bereich Frontoffice und Eingangsfoyer 

Sauberer persönlicher Auftritt und Repräsentation des 

Einfache Verpflegung ist vorhanden",Gastronomie / Hotel,Rüschlikon,8803,483.0,34.5,8 Nov 2023,2
31,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt mit >20 Monaten Erfahrung,"Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit muss im CV ersichtlich sein. Personen mit einer abgeschlossenen Berufslehre im Detailhandelsbereich müssen sich mit Ausbildungsniveau ""gelernt"" registrieren.","Aufgaben:
Aktive Beratung und Bedienung der anspruchsvollen Kundschaft
Gastgeber:in für einzigartiges Einkaufserlebnis
Bearbeiten von Kundenbestellungen und –reklamationen
Durführung von Degustationen
Kontrolle der Wareneingänge, Produkte und Daten
Warenbewirtschaftung und –präsentation (inkl. Promotionen)
Einhaltung und Durchsetzung der gesetzlichen und betrieblichen Hygienerichtlinie und Vorschriften (HACCP)

Profil:
Verkaufserfahrung im genannten Bereich von Vorteil
Teamfähige, selbständige, flexible und belastbare Persönlichkeit 
Gepflegtes Erscheinungsbild, einwandfreie Umgangsformen und positive Ausstrahlung
Faszination für qualitativ hochwertige Lebensmittel
Kunden- und Dienstleistungsorientiert
Sehr gute Deutschkenntnisse, weitere Sprachen von Vorteil

Die oben abgebildeten Einsatztage- und zeiten sind lediglich beispielhaft aufgeführt. Die effektiven Einsatztage und -zeiten werden laufend ca. 1-3 Wochen im Voraus zwischen dem Einsatzbetrieb und dem Arbeitnehmenden vereinbart. Die Einsätze finden grundsätzlich zwischen 10:00-20.30 Uhr inkl. Samstags- und Sonntags statt.

Als Dankeschön für deine Leistung bei hast du ab 3 abgeschlossenen Schichten einen Personalrabatt zwischen 15-30% auf das gesamte Sortiment inklusive Online Shop. Die genauen Infos bekommst du als PDF nach der Anstellung zugeschickt.",Detailhandel / Logistik,Zürich,8001,7438.2,27.6,8 Nov 2023,49
